HH1,HH2,LN,BHLN,WM1,WM2,WM3,WMINT,BH0,BH2,BH3,BH4D,BH4M,BH4Y,BH5,BH6,BH7,BH8,BH9U,BH9N,BH10,BH4C,BH4F,BH9C,BH9F,HH4,HH6,HH7,WDOI,WDOB,welevel,insurance,disability,brthord,magebrt,birthint,wmweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
1,5,5,1,1,5,5,112,1,1,2,12,7,2020,1,2,1,6,NA,NA,2,1447,1,NA,NA,110,1,1,1479,1009,2,1,2,1,3,0,2.370883967826383,0.20331555211796898,3,5,-0.3550445505023162,2,3,NA,NA,NA,1,111
1,6,2,1,1,6,2,115,1,1,1,27,5,2002,1,20,1,3,NA,NA,2,1229,1,NA,NA,110,1,1,1479,897,3,1,2,1,2,0,2.370883967826383,1.5860934896362229,5,10,1.7369039177552539,5,10,NA,NA,NA,1,111
1,6,2,2,1,6,2,115,2,1,1,26,9,2007,1,15,1,4,NA,NA,2,1293,1,NA,NA,110,1,1,1479,897,3,1,2,2,2,4,2.370883967826383,1.5860934896362229,5,10,1.7369039177552539,5,10,NA,NA,NA,1,111
1,8,2,1,1,8,2,111,1,1,1,13,9,2000,1,22,1,3,NA,NA,2,1209,1,NA,NA,110,1,1,1479,941,2,1,2,1,2,0,2.370883967826383,1.547337641241184,5,10,1.6782717719231224,5,10,NA,NA,NA,1,111
1,8,2,2,1,8,2,111,2,1,1,2,2,2002,1,21,1,4,NA,NA,2,1226,1,NA,NA,110,1,1,1479,941,2,1,2,2,2,1,2.370883967826383,1.547337641241184,5,10,1.6782717719231224,5,10,NA,NA,NA,1,111
1,9,2,1,1,9,2,115,1,1,1,4,5,2005,1,17,1,3,NA,NA,2,1265,1,NA,NA,110,1,1,1479,900,2,1,2,1,2,0,2.370883967826383,1.281835884910606,5,10,1.2766049696075732,5,9,NA,NA,NA,1,111
1,9,2,2,1,9,2,115,2,1,1,16,5,2007,1,15,1,4,NA,NA,2,1289,1,NA,NA,110,1,1,1479,900,2,1,2,2,2,2,2.370883967826383,1.281835884910606,5,10,1.2766049696075732,5,9,NA,NA,NA,1,111
1,9,2,3,1,9,2,115,3,1,1,9,12,2009,1,13,1,5,NA,NA,2,1320,1,NA,NA,110,1,1,1479,900,2,1,2,2,3,2,2.370883967826383,1.281835884910606,5,10,1.2766049696075732,5,9,NA,NA,NA,1,111
1,11,2,1,1,11,2,112,1,1,2,15,6,2002,1,20,1,3,NA,NA,2,1230,1,NA,NA,110,1,1,1479,1009,3,1,2,1,1,0,2.370883967826383,1.319380578416697,5,10,1.333404808497272,5,9,NA,NA,NA,1,111
1,11,2,2,1,11,2,112,2,1,1,21,10,2006,1,16,1,4,NA,NA,2,1282,1,NA,NA,110,1,1,1479,1009,3,1,2,2,2,4,2.370883967826383,1.319380578416697,5,10,1.333404808497272,5,9,NA,NA,NA,1,111
1,12,2,1,1,12,2,111,1,1,1,12,8,2001,1,21,1,3,NA,NA,2,1220,1,NA,NA,110,1,1,1479,928,3,1,2,1,2,0,2.370883967826383,1.268612237565158,5,10,1.2565994516870773,5,9,NA,NA,NA,1,111
1,12,2,2,1,12,2,111,2,1,1,5,7,2005,1,17,1,4,NA,NA,2,1267,1,NA,NA,110,1,1,1479,928,3,1,2,2,2,3,2.370883967826383,1.268612237565158,5,10,1.2565994516870773,5,9,NA,NA,NA,1,111
1,14,2,1,1,14,2,113,1,1,2,24,7,2014,1,8,1,3,NA,NA,2,1375,1,NA,NA,110,1,1,1479,1013,3,1,2,1,2,0,2.370883967826383,1.2733593178105063,5,10,1.2637811162034889,5,9,NA,NA,NA,1,111
1,14,2,2,1,14,2,113,2,1,1,18,9,2017,1,5,1,4,NA,NA,2,1413,1,NA,NA,110,1,1,1479,1013,3,1,2,2,2,3,2.370883967826383,1.2733593178105063,5,10,1.2637811162034889,5,9,NA,NA,NA,1,111
1,15,2,1,1,15,2,114,1,1,1,7,3,2000,1,23,1,3,NA,NA,2,1203,1,NA,NA,110,1,1,1479,883,1,1,2,1,2,0,2.370883967826383,1.006521530813419,5,9,0.8600930874635689,4,8,NA,NA,NA,1,111
1,15,2,2,1,15,2,114,2,1,2,12,8,2009,1,13,1,4,NA,NA,2,1316,1,NA,NA,110,1,1,1479,883,1,1,2,2,3,4,2.370883967826383,1.006521530813419,5,9,0.8600930874635689,4,8,NA,NA,NA,1,111
1,15,2,3,1,15,2,114,3,1,2,2,8,2014,1,8,1,5,NA,NA,2,1376,1,NA,NA,110,1,1,1479,883,1,1,2,2,3,4,2.370883967826383,1.006521530813419,5,9,0.8600930874635689,4,8,NA,NA,NA,1,111
1,18,2,1,1,18,2,114,1,1,1,18,6,2000,1,22,1,3,NA,NA,2,1206,1,NA,NA,110,1,1,1479,942,1,1,2,1,2,0,2.370883967826383,0.7964319701761579,4,8,0.5422571409624173,4,7,NA,NA,NA,1,111
1,18,2,2,1,18,2,114,2,1,2,14,1,2005,1,18,1,4,NA,NA,2,1261,1,NA,NA,110,1,1,1479,942,1,1,2,2,2,4,2.370883967826383,0.7964319701761579,4,8,0.5422571409624173,4,7,NA,NA,NA,1,111
1,19,2,1,1,19,2,114,1,1,2,15,12,2005,1,17,1,3,NA,NA,2,1272,1,NA,NA,110,1,1,1479,1012,2,1,2,1,2,0,2.370883967826383,1.0554786285456237,5,9,0.9341582882687195,4,8,NA,NA,NA,1,111
1,19,2,2,1,19,2,114,2,1,2,10,3,2008,1,15,1,4,NA,NA,2,1299,1,NA,NA,110,1,1,1479,1012,2,1,2,2,2,2,2.370883967826383,1.0554786285456237,5,9,0.9341582882687195,4,8,NA,NA,NA,1,111
1,22,2,1,1,22,2,114,1,1,1,27,2,2018,1,5,1,3,NA,NA,2,1418,1,NA,NA,110,1,1,1479,1108,2,1,2,1,2,0,2.370883967826383,0.5321824082030128,4,7,0.14248473253103286,3,5,NA,NA,NA,1,111
2,4,2,1,2,4,2,112,1,1,1,11,6,1996,1,26,2,0,NA,NA,2,1158,1,NA,NA,110,1,1,1479,881,3,1,2,1,2,0,2.370883967826383,1.6154459512541202,5,10,1.7813100624116796,5,10,NA,NA,NA,2,111
2,4,2,2,2,4,2,112,2,1,1,22,3,1999,1,24,1,4,NA,NA,2,1191,1,NA,NA,110,1,1,1479,881,3,1,2,2,2,2,2.370883967826383,1.6154459512541202,5,10,1.7813100624116796,5,10,NA,NA,NA,2,111
2,4,2,3,2,4,2,112,3,1,2,14,9,2002,1,20,1,3,NA,NA,2,1233,1,NA,NA,110,1,1,1479,881,3,1,2,2,2,3,2.370883967826383,1.6154459512541202,5,10,1.7813100624116796,5,10,NA,NA,NA,2,111
2,6,2,1,2,6,2,115,1,1,1,10,11,2009,1,13,1,3,NA,NA,2,1319,1,NA,NA,110,1,1,1479,949,2,1,2,1,2,0,2.370883967826383,1.3684388926122717,5,10,1.407623135570759,5,9,NA,NA,NA,2,111
2,6,2,2,2,6,2,115,2,1,1,13,8,2013,1,9,1,4,NA,NA,2,1364,1,NA,NA,110,1,1,1479,949,2,1,2,2,2,3,2.370883967826383,1.3684388926122717,5,10,1.407623135570759,5,9,NA,NA,NA,2,111
2,7,2,1,2,7,2,115,1,1,1,14,2,2016,1,7,1,3,NA,NA,2,1394,1,NA,NA,110,1,1,1479,1048,2,2,2,1,2,0,2.370883967826383,0.9101374675939875,4,8,0.7142775606565621,4,7,NA,NA,NA,2,111
2,7,2,2,2,7,2,115,2,1,2,26,8,2019,1,3,1,4,NA,NA,2,1436,1,NA,NA,110,1,1,1479,1048,2,2,2,2,2,3,2.370883967826383,0.9101374675939875,4,8,0.7142775606565621,4,7,NA,NA,NA,2,111
2,10,2,1,2,10,2,111,1,1,2,19,5,2006,1,16,1,3,NA,NA,2,1277,1,NA,NA,110,1,1,1479,958,2,1,2,1,2,0,2.370883967826383,0.6658762677770684,4,7,0.3447447318866391,3,6,NA,NA,NA,2,111
2,10,2,2,2,10,2,111,2,1,1,8,3,2012,1,10,1,4,NA,NA,2,1347,1,NA,NA,110,1,1,1479,958,2,1,2,2,2,4,2.370883967826383,0.6658762677770684,4,7,0.3447447318866391,3,6,NA,NA,NA,2,111
2,12,6,1,2,12,6,113,1,1,1,5,10,2021,1,1,1,7,NA,NA,2,1462,1,NA,NA,110,1,1,1479,1177,2,1,2,1,2,0,2.370883967826383,1.0973975034433814,5,9,0.9975756481745558,4,8,NA,NA,NA,2,111
2,19,2,1,2,19,2,112,1,1,1,13,6,1999,1,23,1,6,NA,NA,2,1194,1,NA,NA,110,1,1,1479,932,2,1,2,1,2,0,2.370883967826383,1.0618409486938662,5,9,0.9437835835005539,4,8,NA,NA,NA,2,111
2,19,2,2,2,19,2,112,2,1,2,2,10,2002,1,20,1,5,NA,NA,2,1234,1,NA,NA,110,1,1,1479,932,2,1,2,2,2,3,2.370883967826383,1.0618409486938662,5,9,0.9437835835005539,4,8,NA,NA,NA,2,111
2,19,2,3,2,19,2,112,3,1,1,23,3,2005,1,18,1,4,NA,NA,2,1263,1,NA,NA,110,1,1,1479,932,2,1,2,2,2,2,2.370883967826383,1.0618409486938662,5,9,0.9437835835005539,4,8,NA,NA,NA,2,111
2,19,2,4,2,19,2,112,4,1,2,18,2,2015,1,8,1,3,NA,NA,2,1382,1,NA,NA,110,1,1,1479,932,2,1,2,3,3,4,2.370883967826383,1.0618409486938662,5,9,0.9437835835005539,4,8,NA,NA,NA,2,111
2,21,2,1,2,21,2,115,1,1,1,8,4,2000,1,22,1,3,NA,NA,2,1204,1,NA,NA,110,1,1,1479,896,2,1,2,1,2,0,2.370883967826383,0.4542364318721897,3,6,0.024563437022979848,3,5,NA,NA,NA,2,111
2,21,2,2,2,21,2,115,2,1,2,23,4,2001,1,21,1,4,NA,NA,2,1216,1,NA,NA,110,1,1,1479,896,2,1,2,2,2,1,2.370883967826383,0.4542364318721897,3,6,0.024563437022979848,3,5,NA,NA,NA,2,111
2,21,2,3,2,21,2,115,3,1,2,5,2,2003,1,20,1,5,NA,NA,2,1238,1,NA,NA,110,1,1,1479,896,2,1,2,2,2,1,2.370883967826383,0.4542364318721897,3,6,0.024563437022979848,3,5,NA,NA,NA,2,111
2,21,2,4,2,21,2,115,4,1,1,23,7,2005,1,17,1,6,NA,NA,2,1267,1,NA,NA,110,1,1,1479,896,2,1,2,3,2,2,2.370883967826383,0.4542364318721897,3,6,0.024563437022979848,3,5,NA,NA,NA,2,111
3,2,2,1,3,2,2,111,1,1,1,12,9,1995,1,27,1,3,NA,NA,2,1149,1,NA,NA,110,1,1,1479,921,1,1,2,1,1,0,2.370883967826383,1.3342760366490911,5,10,1.355939541072755,5,9,NA,NA,NA,3,111
3,4,2,1,3,4,2,111,1,1,1,12,8,2013,1,9,1,4,NA,NA,2,1364,1,NA,NA,110,1,1,1479,1066,2,1,2,1,2,0,2.370883967826383,1.4155414563302449,5,10,1.4788826873377379,5,10,NA,NA,NA,3,111
3,4,2,2,3,4,2,111,2,1,1,19,4,2016,1,6,1,5,NA,NA,2,1396,1,NA,NA,110,1,1,1479,1066,2,1,2,2,2,2,2.370883967826383,1.4155414563302449,5,10,1.4788826873377379,5,10,NA,NA,NA,3,111
3,5,1,1,3,5,1,112,1,1,2,20,3,2006,1,17,1,4,NA,NA,2,1275,1,NA,NA,110,1,1,1479,966,2,1,2,1,2,0,2.370883967826383,0.6051945767245979,4,7,0.2529418709903145,3,6,NA,NA,NA,3,111
3,5,1,2,3,5,1,112,2,1,1,15,5,2008,1,14,1,3,NA,NA,2,1301,1,NA,NA,110,1,1,1479,966,2,1,2,2,2,2,2.370883967826383,0.6051945767245979,4,7,0.2529418709903145,3,6,NA,NA,NA,3,111
3,5,1,3,3,5,1,112,3,1,1,10,1,2012,1,11,1,2,NA,NA,2,1345,1,NA,NA,110,1,1,1479,966,2,1,2,2,2,3,2.370883967826383,0.6051945767245979,4,7,0.2529418709903145,3,6,NA,NA,NA,3,111
3,8,1,1,3,8,1,112,1,1,1,12,4,2000,1,22,1,3,NA,NA,2,1204,1,NA,NA,110,1,1,1479,926,1,1,2,1,2,0,2.370883967826383,1.2801713061880822,5,10,1.2740866961998216,5,9,NA,NA,NA,3,111
3,8,1,2,3,8,1,112,2,1,2,22,9,2006,1,16,1,2,NA,NA,2,1281,1,NA,NA,110,1,1,1479,926,1,1,2,2,2,4,2.370883967826383,1.2801713061880822,5,10,1.2740866961998216,5,9,NA,NA,NA,3,111
3,16,2,1,3,16,2,114,1,1,2,23,6,2004,1,18,1,3,NA,NA,2,1254,1,NA,NA,110,1,1,1479,896,2,1,2,1,2,0,2.370883967826383,0.8545307328734011,4,8,0.6301523946647519,4,7,NA,NA,NA,3,111
3,16,2,2,3,16,2,114,2,1,2,10,3,2008,1,15,1,4,NA,NA,2,1299,1,NA,NA,110,1,1,1479,896,2,1,2,2,2,3,2.370883967826383,0.8545307328734011,4,8,0.6301523946647519,4,7,NA,NA,NA,3,111
3,17,2,1,3,17,2,114,1,1,1,3,7,2007,1,15,1,3,NA,NA,2,1291,1,NA,NA,110,1,1,1479,993,2,1,2,1,2,0,2.370883967826383,1.3450163383771212,5,10,1.3721881064706825,5,9,NA,NA,NA,3,111
3,17,2,2,3,17,2,114,2,1,2,16,11,2009,1,13,1,4,NA,NA,2,1319,1,NA,NA,110,1,1,1479,993,2,1,2,2,2,2,2.370883967826383,1.3450163383771212,5,10,1.3721881064706825,5,9,NA,NA,NA,3,111
3,17,2,3,3,17,2,114,3,1,2,2,1,2016,1,7,1,5,NA,NA,2,1393,1,NA,NA,110,1,1,1479,993,2,1,2,2,2,4,2.370883967826383,1.3450163383771212,5,10,1.3721881064706825,5,9,NA,NA,NA,3,111
3,22,2,1,3,22,2,115,1,1,1,26,7,2019,1,3,1,3,NA,NA,2,1435,1,NA,NA,110,1,1,1479,1170,2,1,2,1,2,0,2.370883967826383,0.8145083592503599,4,8,0.5696041743575792,4,7,NA,NA,NA,3,111
3,22,2,2,3,22,2,115,2,1,2,26,4,2021,1,1,1,4,NA,NA,2,1456,1,NA,NA,110,1,1,1479,1170,2,1,2,2,2,1,2.370883967826383,0.8145083592503599,4,8,0.5696041743575792,4,7,NA,NA,NA,3,111
4,3,1,1,4,3,1,112,1,1,2,6,2,2005,1,18,1,2,NA,NA,2,1262,1,NA,NA,110,1,1,1479,977,2,1,2,1,2,0,2.370883967826383,0.6446292003797123,4,7,0.3126009082900338,3,6,NA,NA,NA,4,111
4,5,2,1,4,5,2,113,1,1,2,25,1,2005,1,18,1,3,NA,NA,2,1261,1,NA,NA,110,1,1,1479,912,3,1,2,1,2,0,2.370883967826383,0.8128885162206119,4,8,0.567153579758868,4,7,NA,NA,NA,4,111
4,5,2,2,4,5,2,113,2,1,1,7,3,2009,1,14,1,4,NA,NA,2,1311,1,NA,NA,110,1,1,1479,912,3,1,2,2,2,4,2.370883967826383,0.8128885162206119,4,8,0.567153579758868,4,7,NA,NA,NA,4,111
4,6,2,1,4,6,2,113,1,1,2,8,10,2019,1,3,1,3,NA,NA,2,1438,1,NA,NA,110,1,1,1479,1109,2,1,2,1,2,0,2.370883967826383,1.4144980555818976,5,10,1.4773041688077118,5,10,NA,NA,NA,4,111
4,6,2,2,4,6,2,113,2,1,1,1,2,2022,1,1,1,4,NA,NA,2,1466,1,NA,NA,110,1,1,1479,1109,2,1,2,2,2,2,2.370883967826383,1.4144980555818976,5,10,1.4773041688077118,5,10,NA,NA,NA,4,111
4,13,2,1,4,13,2,114,1,1,2,21,1,2018,1,5,1,3,NA,NA,2,1417,1,NA,NA,110,1,1,1479,1049,2,1,2,1,2,0,2.370883967826383,0.9034527647148148,4,8,0.7041645457107637,4,7,NA,NA,NA,4,111
4,13,2,2,4,13,2,114,2,1,2,13,7,2020,1,2,1,4,NA,NA,2,1447,1,NA,NA,110,1,1,1479,1049,2,1,2,2,2,2,2.370883967826383,0.9034527647148148,4,8,0.7041645457107637,4,7,NA,NA,NA,4,111
4,13,2,3,4,13,2,114,3,1,1,10,6,2022,1,0,1,5,NA,NA,2,1470,1,NA,NA,110,1,1,1479,1049,2,1,2,2,3,1,2.370883967826383,0.9034527647148148,4,8,0.7041645457107637,4,7,NA,NA,NA,4,111
5,3,2,1,5,3,2,112,1,1,2,5,9,2011,1,11,1,4,NA,NA,2,1341,1,NA,NA,110,1,1,1479,892,1,1,2,1,3,0,2.370883967826383,1.1941113518053037,5,9,1.1438900935027287,5,9,NA,NA,NA,5,111
5,3,2,2,5,3,2,112,2,1,2,26,2,2014,1,9,1,3,NA,NA,2,1370,1,NA,NA,110,1,1,1479,892,1,1,2,2,3,2,2.370883967826383,1.1941113518053037,5,9,1.1438900935027287,5,9,NA,NA,NA,5,111
5,5,2,1,5,5,2,112,1,1,1,26,12,2014,1,8,1,4,NA,NA,2,1380,1,NA,NA,110,1,1,1479,1045,3,2,2,1,2,0,2.370883967826383,0.6223709625471396,4,7,0.2789273260924956,3,6,NA,NA,NA,5,111
5,5,2,2,5,5,2,112,2,1,2,28,2,2017,1,6,1,3,NA,NA,2,1406,1,NA,NA,110,1,1,1479,1045,3,2,2,2,2,2,2.370883967826383,0.6223709625471396,4,7,0.2789273260924956,3,6,NA,NA,NA,5,111
5,6,2,1,5,6,2,114,1,1,1,4,6,2004,1,18,1,3,NA,NA,2,1254,1,NA,NA,110,1,1,1479,999,2,1,2,1,2,0,2.370883967826383,1.3711558531961976,5,10,1.4117335146689827,5,9,NA,NA,NA,5,111
5,6,2,2,5,6,2,114,2,1,2,27,6,2008,1,14,1,4,NA,NA,2,1302,1,NA,NA,110,1,1,1479,999,2,1,2,2,2,4,2.370883967826383,1.3711558531961976,5,10,1.4117335146689827,5,9,NA,NA,NA,5,111
5,7,2,1,5,7,2,112,1,1,1,22,8,2014,1,8,1,4,NA,NA,2,1376,1,NA,NA,110,1,1,1479,918,2,1,2,1,3,0,2.370883967826383,0.9006000787636039,4,8,0.6998488332278425,4,7,NA,NA,NA,5,111
5,7,2,2,5,7,2,112,2,1,2,9,1,2016,1,7,1,3,NA,NA,2,1393,1,NA,NA,110,1,1,1479,918,2,1,2,2,3,1,2.370883967826383,0.9006000787636039,4,8,0.6998488332278425,4,7,NA,NA,NA,5,111
5,8,2,1,5,8,2,114,1,1,1,24,1,2003,1,20,1,3,NA,NA,2,1237,1,NA,NA,110,1,1,1479,962,2,1,2,1,2,0,2.370883967826383,0.9034527647148148,4,8,0.7041645457107637,4,7,NA,NA,NA,5,111
5,8,2,2,5,8,2,114,2,1,1,24,5,2007,1,15,1,4,NA,NA,2,1289,1,NA,NA,110,1,1,1479,962,2,1,2,2,2,4,2.370883967826383,0.9034527647148148,4,8,0.7041645457107637,4,7,NA,NA,NA,5,111
5,8,2,3,5,8,2,114,3,1,1,12,2,2016,1,7,1,5,NA,NA,2,1394,1,NA,NA,110,1,1,1479,962,2,1,2,2,3,4,2.370883967826383,0.9034527647148148,4,8,0.7041645457107637,4,7,NA,NA,NA,5,111
5,10,2,1,5,10,2,114,1,1,1,18,4,2014,1,8,1,3,NA,NA,2,1372,1,NA,NA,110,1,1,1479,996,2,1,2,1,2,0,2.370883967826383,0.9616656287659244,5,9,0.7922324187079038,4,8,NA,NA,NA,5,111
5,10,2,2,5,10,2,114,2,1,1,10,6,2017,1,5,1,4,NA,NA,2,1410,1,NA,NA,110,1,1,1479,996,2,1,2,2,2,3,2.370883967826383,0.9616656287659244,5,9,0.7922324187079038,4,8,NA,NA,NA,5,111
5,10,2,3,5,10,2,114,3,1,1,12,12,2018,1,4,1,5,NA,NA,2,1428,1,NA,NA,110,1,1,1479,996,2,1,2,2,3,1,2.370883967826383,0.9616656287659244,5,9,0.7922324187079038,4,8,NA,NA,NA,5,111
5,16,2,1,5,16,2,113,1,1,1,22,6,2015,1,7,1,4,NA,NA,2,1386,1,NA,NA,110,1,1,1479,1022,3,1,2,1,2,0,2.370883967826383,1.2072625870961842,5,9,1.1637860621727445,5,9,NA,NA,NA,5,111
5,16,2,2,5,16,2,113,2,1,1,24,10,2016,1,6,1,3,NA,NA,2,1402,1,NA,NA,110,1,1,1479,1022,3,1,2,2,2,1,2.370883967826383,1.2072625870961842,5,9,1.1637860621727445,5,9,NA,NA,NA,5,111
5,16,2,3,5,16,2,113,3,1,2,12,6,2019,1,3,1,5,NA,NA,2,1434,1,NA,NA,110,1,1,1479,1022,3,1,2,2,2,2,2.370883967826383,1.2072625870961842,5,9,1.1637860621727445,5,9,NA,NA,NA,5,111
5,17,2,1,5,17,2,113,1,1,2,3,8,2008,1,14,1,3,NA,NA,2,1304,1,NA,NA,110,1,1,1479,1026,2,1,2,1,2,0,2.370883967826383,0.6545263053733161,4,7,0.3275738356631106,3,6,NA,NA,NA,5,111
5,17,2,2,5,17,2,113,2,1,2,10,2,2011,1,12,1,4,NA,NA,2,1334,1,NA,NA,110,1,1,1479,1026,2,1,2,2,2,2,2.370883967826383,0.6545263053733161,4,7,0.3275738356631106,3,6,NA,NA,NA,5,111
5,17,2,3,5,17,2,113,3,1,1,3,11,2013,1,9,1,5,NA,NA,2,1367,1,NA,NA,110,1,1,1479,1026,2,1,2,2,2,2,2.370883967826383,0.6545263053733161,4,7,0.3275738356631106,3,6,NA,NA,NA,5,111
5,17,2,4,5,17,2,113,4,1,2,3,7,2018,1,4,1,6,NA,NA,2,1423,1,NA,NA,110,1,1,1479,1026,2,1,2,3,2,4,2.370883967826383,0.6545263053733161,4,7,0.3275738356631106,3,6,NA,NA,NA,5,111
5,17,2,5,5,17,2,113,5,1,1,1,2,2023,1,0,1,7,NA,NA,2,1478,1,NA,NA,110,1,1,1479,1026,2,1,2,3,3,4,2.370883967826383,0.6545263053733161,4,7,0.3275738356631106,3,6,NA,NA,NA,5,111
6,5,2,1,6,5,2,113,1,1,1,16,10,2021,1,1,1,3,NA,NA,2,1462,1,NA,NA,110,1,1,1479,1094,3,1,1,1,2,0,2.370883967826383,0.8175594484641575,4,8,0.5742200430622654,4,7,NA,NA,NA,6,111
6,8,3,1,6,8,3,115,1,1,1,12,4,2013,1,9,1,4,NA,NA,2,1360,1,NA,NA,110,1,1,1479,1103,2,1,2,1,2,0,2.370883967826383,0.4467654072611035,3,6,0.013260827929052187,3,5,NA,NA,NA,6,111
6,8,3,2,6,8,3,115,2,1,2,28,1,2016,1,7,1,5,NA,NA,2,1393,1,NA,NA,110,1,1,1479,1103,2,1,2,2,2,2,2.370883967826383,0.4467654072611035,3,6,0.013260827929052187,3,5,NA,NA,NA,6,111
6,8,3,3,6,8,3,115,3,1,1,20,1,2021,1,2,1,6,NA,NA,2,1453,1,NA,NA,110,1,1,1479,1103,2,1,2,2,2,4,2.370883967826383,0.4467654072611035,3,6,0.013260827929052187,3,5,NA,NA,NA,6,111
6,11,3,1,6,11,3,111,1,1,2,2,9,2008,1,14,1,4,NA,NA,2,1305,1,NA,NA,110,1,1,1479,919,2,2,2,1,2,0,2.370883967826383,0.8967315355574235,4,8,0.6939962716451187,4,7,NA,NA,NA,6,111
6,12,2,1,6,12,2,111,1,1,2,6,9,2004,1,18,1,3,NA,NA,2,1257,1,NA,NA,110,1,1,1479,926,2,1,2,1,2,0,2.370883967826383,1.0930538691278955,5,9,0.9910043405868314,4,8,NA,NA,NA,6,111
6,12,2,2,6,12,2,111,2,1,1,8,8,2012,1,10,1,4,NA,NA,2,1352,1,NA,NA,110,1,1,1479,926,2,1,2,2,3,4,2.370883967826383,1.0930538691278955,5,9,0.9910043405868314,4,8,NA,NA,NA,6,111
6,22,2,1,6,22,2,114,1,1,2,31,10,2006,1,16,1,4,NA,NA,2,1282,1,NA,NA,110,1,1,1479,915,1,2,2,1,2,0,2.370883967826383,0.7122775595558557,4,8,0.4149433578757272,3,6,NA,NA,NA,6,111
6,22,2,2,6,22,2,114,2,1,2,27,6,2008,1,14,1,3,NA,NA,2,1302,1,NA,NA,110,1,1,1479,915,1,2,2,2,2,1,2.370883967826383,0.7122775595558557,4,8,0.4149433578757272,3,6,NA,NA,NA,6,111
7,7,2,1,7,7,2,112,1,1,2,24,2,2008,1,15,1,4,NA,NA,2,1298,1,NA,NA,110,1,1,1479,935,2,1,2,1,2,0,2.370883967826383,0.6991359154077083,4,8,0.39506189925523183,3,6,NA,NA,NA,7,111
7,7,2,2,7,7,2,112,2,1,1,14,5,2010,1,12,1,3,NA,NA,2,1325,1,NA,NA,110,1,1,1479,935,2,1,2,2,2,2,2.370883967826383,0.6991359154077083,4,8,0.39506189925523183,3,6,NA,NA,NA,7,111
7,10,2,1,7,10,2,112,1,1,2,21,5,2008,1,14,1,4,NA,NA,2,1301,1,NA,NA,110,1,1,1479,940,2,1,2,1,2,0,2.370883967826383,1.5835696456508197,5,10,1.7330856968998787,5,10,NA,NA,NA,7,111
7,10,2,2,7,10,2,112,2,1,1,7,12,2010,1,12,1,3,NA,NA,2,1332,1,NA,NA,110,1,1,1479,940,2,1,2,2,2,2,2.370883967826383,1.5835696456508197,5,10,1.7330856968998787,5,10,NA,NA,NA,7,111
7,14,2,1,7,14,2,113,1,1,2,1,4,2007,1,15,1,3,NA,NA,2,1288,1,NA,NA,110,1,1,1479,949,2,1,2,1,2,0,2.370883967826383,1.24759868207252,5,9,1.2248088987481391,5,9,NA,NA,NA,7,111
7,14,2,2,7,14,2,113,2,1,2,5,11,2009,1,13,1,4,NA,NA,2,1319,1,NA,NA,110,1,1,1479,949,2,1,2,2,2,2,2.370883967826383,1.24759868207252,5,9,1.2248088987481391,5,9,NA,NA,NA,7,111
7,14,2,3,7,14,2,113,3,1,2,9,2,2011,1,12,1,5,NA,NA,2,1334,1,NA,NA,110,1,1,1479,949,2,1,2,2,2,1,2.370883967826383,1.24759868207252,5,9,1.2248088987481391,5,9,NA,NA,NA,7,111
7,16,2,1,7,16,2,115,1,1,1,18,4,2019,1,3,1,3,NA,NA,2,1432,1,NA,NA,110,1,1,1479,1090,3,1,2,1,2,0,2.370883967826383,0.39535728926079217,3,6,-0.06451242169320394,3,5,NA,NA,NA,7,111
7,16,2,2,7,16,2,115,2,1,1,15,7,2021,2,NA,NA,NA,1,15,2,1459,1,0,0,110,1,1,1479,1090,3,1,2,2,2,2,2.370883967826383,0.39535728926079217,3,6,-0.06451242169320394,3,5,NA,NA,NA,7,111
7,17,2,1,7,17,2,113,1,1,1,12,2,2004,1,19,1,3,NA,NA,2,1250,1,NA,NA,110,1,1,1479,1001,1,1,2,1,2,0,2.370883967826383,1.2853301342596295,5,10,1.2818912772460354,5,9,NA,NA,NA,7,111
7,17,2,2,7,17,2,113,2,1,2,21,1,2010,1,13,1,4,NA,NA,2,1321,1,NA,NA,110,1,1,1479,1001,1,1,2,2,2,4,2.370883967826383,1.2853301342596295,5,10,1.2818912772460354,5,9,NA,NA,NA,7,111
7,18,2,1,7,18,2,114,1,1,2,16,9,2011,1,11,1,3,NA,NA,2,1341,1,NA,NA,110,1,1,1479,1062,2,1,2,1,2,0,2.370883967826383,1.518980490964955,5,10,1.6353713932904008,5,10,NA,NA,NA,7,111
7,18,2,2,7,18,2,114,2,2,1,1,1,2015,1,8,1,4,NA,NA,2,1381,1,NA,NA,110,1,1,1479,1062,2,1,2,2,2,3,2.370883967826383,1.518980490964955,5,10,1.6353713932904008,5,10,NA,NA,NA,7,111
7,18,2,3,7,18,2,114,3,2,2,1,1,2015,1,8,1,5,NA,NA,2,1381,1,NA,NA,110,1,1,1479,1062,2,1,2,2,2,3,2.370883967826383,1.518980490964955,5,10,1.6353713932904008,5,10,NA,NA,NA,7,111
7,19,2,1,7,19,2,115,1,1,2,5,5,2005,1,17,1,3,NA,NA,2,1265,1,NA,NA,110,1,1,1479,917,2,2,2,1,2,0,2.370883967826383,1.098086749774797,5,9,0.9986183808998443,4,8,NA,NA,NA,7,111
